year,record_scope,row_type,regime,level,entity_id,chgis_sys_id,state_id,state_name,prefecture_id,prefecture_name,county_id,county_name,administrative_name,map_label,is_fief,fief_id,fief_rank,holder_text,uncertain,qiao,longitude,latitude,map_drawn,geometry_status,unmapped_reason,chgis_source,book_page,pdf_page,source_title,source_url
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0013,32059,ch_s0002,吳州,ch_p0013,吳郡,,,吳郡,吳郡,0,,,,0,0,120.61862196466318,31.31270997478973,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0073,40404,ch_s0002,吳州,ch_p0013,吳郡,ch_c0073,吳,吳,吳,0,,,,0,0,120.61862196466318,31.31270997478973,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0074,,ch_s0002,吳州,ch_p0013,吳郡,ch_c0074,婁,婁,婁,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0075,40054,ch_s0002,吳州,ch_p0013,吳郡,ch_c0075,嘉興,嘉興,嘉興,0,,,,0,0,120.75312596179018,30.745342973930224,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0076,,ch_s0002,吳州,ch_p0013,吳郡,ch_c0076,崑山,崑山,崑山,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0077,40112,ch_s0002,吳州,ch_p0013,吳郡,ch_c0077,鹽官,鹽官,鹽官,0,,,,0,0,120.5374989754672,30.40627997730978,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0078,,ch_s0002,吳州,ch_p0013,吳郡,ch_c0078,桐廬,桐廬,桐廬,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0079,40071,ch_s0002,吳州,ch_p0013,吳郡,ch_c0079,海鹽,海鹽,海鹽,0,,,,0,0,120.9320219523842,30.51785897181969,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0014,32356,ch_s0002,吳州,ch_p0014,錢塘郡,,,錢塘郡,錢塘郡,0,,,,0,0,120.16862498905506,30.29412498176254,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0080,40078,ch_s0002,吳州,ch_p0014,錢塘郡,ch_c0080,錢塘,錢塘,錢塘,0,,,,0,0,120.16862498905506,30.29412498176254,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0081,40092,ch_s0002,吳州,ch_p0014,錢塘郡,ch_c0081,富陽,富陽,富陽,0,,,,0,0,119.94775399508578,30.053433984299023,1,seat,,CHGIS V6,1371,473,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0082,40100,ch_s0002,吳州,ch_p0014,錢塘郡,ch_c0082,於潛,於潛,於潛,0,,,,0,0,119.39478300190807,30.192014988903512,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0083,40120,ch_s0002,吳州,ch_p0014,錢塘郡,ch_c0083,新城,新城,新城,0,,,,0,0,119.72395299894654,29.97099898643534,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0015,32358,ch_s0002,吳州,ch_p0015,吳興郡,,,吳興郡,吳興郡,0,,,,0,0,120.0993119883639,30.864963981797544,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0084,40127,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0084,烏程,烏程,烏程,0,,,,0,0,120.0993119883639,30.864963981797544,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0085,40134,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0085,武康,武康,武康,0,,,,0,0,119.9640649929859,30.550452983588183,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0086,40131,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0086,東遷,東遷,東遷,0,,,,0,0,120.35575098002224,30.86387597886589,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0087,40137,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0087,長城,長城,長城,0,,,,0,0,119.91379899231558,31.012051983563513,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0088,40093,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0088,臨安,臨安,臨安,0,,,,0,0,119.71657999812864,30.318826986167636,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0089,,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0089,餘杭,餘杭,餘杭,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0090,40145,ch_s0002,吳州,ch_p0015,吳興郡,ch_c0090,原鄉,原鄉,原鄉,0,,,,0,0,119.65317599744031,30.89160498616888,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,state,ch_s0003,30108,ch_s0003,東揚州,,,,,東揚州,東揚州,0,,,,0,0,120.57826206632897,30.004514994669723,1,seat,,CHGIS V4,1372,474,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0016,32280,ch_s0003,東揚州,ch_p0016,會稽郡,,,會稽郡,會稽郡,0,,,,0,0,120.57826197632139,30.004514977397015,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0091,40758,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0091,山陰,山陰,山陰,0,,,,0,0,120.57826197632139,30.004514977397015,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0092,70460,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0092,會稽,會稽,會稽,0,,,,0,0,97.51650404916583,39.823079873994885,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0093,40782,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0093,永興,永興,永興,0,,,,0,0,120.18833898907234,30.169282981704026,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0094,40772,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0094,上虞,上虞,上虞,0,,,,0,0,120.87674696069078,30.017283973468608,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0095,40776,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0095,始寧,始寧,始寧,0,,,,0,0,120.8498409644601,29.75947197425546,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0096,40737,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0096,句章,句章,句章,0,,,,0,0,121.35023492612905,29.775006966981493,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0097,,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0097,余姚,余姚,余姚,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0098,40755,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0098,鄞,鄞,鄞,0,,,,0,0,121.5529419054673,29.689517963959513,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0903,,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0903,鄮,鄮,鄮,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0904,40767,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0904,剡,剡,剡,0,,,,0,0,120.81527696773533,29.58748997498561,1,seat,,CHGIS V6,1372,474,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0099,40791,ch_s0003,東揚州,ch_p0016,會稽郡,ch_c0099,諸暨,諸暨,諸暨,0,,,,0,0,120.22766098998817,29.71313698183544,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0017,32256,ch_s0003,東揚州,ch_p0017,臨海郡,,,臨海郡,臨海郡,0,,,,0,0,121.41879293276551,28.713874967845783,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0100,40655,ch_s0003,東揚州,ch_p0017,臨海郡,ch_c0100,章安,章安,章安,0,,,,0,0,121.41879293276551,28.713874967845783,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0101,40672,ch_s0003,東揚州,ch_p0017,臨海郡,ch_c0101,樂安,樂安,樂安,0,,,,0,0,120.7334599767178,28.852206977091132,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0102,40657,ch_s0003,東揚州,ch_p0017,臨海郡,ch_c0102,臨海,臨海,臨海,0,,,,0,0,121.12059795525191,28.843131971982373,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0905,40659,ch_s0003,東揚州,ch_p0017,臨海郡,ch_c0905,寧海,寧海,寧海,0,,,,0,0,121.45593792222266,29.271109966300248,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0103,40664,ch_s0003,東揚州,ch_p0017,臨海郡,ch_c0103,始豐,始豐,始豐,0,,,,0,0,121.02655795891138,29.138257972830992,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0018,32265,ch_s0003,東揚州,ch_p0018,新安郡,,,新安郡,新安郡,0,,,,0,0,118.96516500465302,29.612286992121195,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0104,40804,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0104,始新,始新,始新,0,,,,0,0,118.96516500465302,29.612286992121195,1,seat,,CHGIS V6,1373,475,,
